startdate	 starttime	 price	 pricecolor	 availability	 departure	 destination	 distance	 kmpereuro	 duration	
2016-05-20 	 16:30 	 34 	 price-green 	 1 	 Zürich 	 Leipzig 	 682022 	 20 	 6
2016-05-20 	 16:30 	 13 	 price-red 	 3 	 Dietlikon 	 Stuttgart 	 208653 	 16 	 2
2016-05-20 	 16:40 	 40 	 price-red 	 1 	 Zürich 	 Dortmund 	 617981 	 15 	 5
2016-05-20 	 16:50 	 6 	 price-orange 	 2 	 Adliswil 	 Radolfzell am Bodensee 	 96812 	 16 	 1
2016-05-20 	 16:50 	 15 	 price-green 	 2 	 Zürich 	 München 	 306728 	 20 	 3
2016-05-20 	 16:50 	 2 	 price-green 	 2 	 Zürich 	 Lörrach 	 82805 	 41 	 1
2016-05-20 	 16:50 	 3 	 price-red 	 3 	 Zürich 	 Dietlikon 	 11746 	 3 	 0
2016-05-20 	 17:00 	 4 	 price-orange 	 2 	 Kloten 	 Sankt Blasien 	 67971 	 16 	 1
2016-05-20 	 17:00 	 10 	 price-green 	 3 	 Zürich 	 Offenburg 	 204182 	 20 	 2
2016-05-20 	 17:00 	 10 	 price-red 	 3 	 Zürich 	 Freiburg im Breisgau 	 150881 	 15 	 1
2016-05-20 	 17:00 	 20 	 price-orange 	 3 	 Zürich 	 München 	 301020 	 15 	 3
2016-05-20 	 17:00 	 20 	 price-red 	 2 	 Zürich 	 München 	 313681 	 15 	 3
2016-05-20 	 17:00 	 22 	 price-orange 	 3 	 Zürich 	 Nürnberg 	 422170 	 19 	 4
2016-05-20 	 17:00 	 25 	 price-orange 	 1 	 Zürich 	 Frankfurt am Main 	 407370 	 16 	 3
2016-05-20 	 17:00 	 33 	 price-red 	 3 	 Zürich 	 Meiningen 	 475914 	 14 	 4
2016-05-20 	 17:00 	 35 	 price-orange 	 1 	 Zürich 	 Annaberg-Buchholz 	 657711 	 18 	 6
2016-05-20 	 17:00 	 50 	 price-red 	 2 	 Zürich 	 Wien 	 742247 	 14 	 7
2016-05-20 	 17:00 	 55 	 price-orange 	 2 	 Zürich 	 Berlin 	 855195 	 15 	 8
2016-05-20 	 17:00 	 3 	 price-green 	 1 	 Zürich 	 Singen (Hohentwiel) 	 74809 	 24 	 1
2016-05-20 	 17:10 	 15 	 price-green 	 Ausgebucht 	 Zürich 	 Mannheim 	 1 	 0 	 999
2016-05-20 	 17:10 	 20 	 price-red 	 1 	 Zürich 	 München 	 300803 	 15 	 3
2016-05-20 	 17:20 	 18 	 price-orange 	 3 	 Affoltern am Albis 	 Saarbrücken 	 1 	 0 	 999
2016-05-20 	 17:20 	 24 	 price-green 	 3 	 Zürich 	 Heilbad Heiligenstadt 	 619926 	 25 	 5
2016-05-20 	 17:20 	 30 	 price-red 	 2 	 Zürich 	 Frankfurt am Main 	 405207 	 13 	 3
2016-05-20 	 17:20 	 12 	 price-green 	 3 	 Glattbrugg 	 Langenau 	 253365 	 21 	 2
2016-05-20 	 17:30 	 6 	 price-green 	 1 	 Zürich 	 Lustenau 	 113801 	 18 	 1
2016-05-20 	 17:30 	 10 	 price-green 	 Ausgebucht 	 Zürich 	 Esslingen am Neckar 	 229671 	 22 	 2
2016-05-20 	 17:30 	 14 	 price-green 	 3 	 Kloten 	 Mailand 	 295010 	 21 	 3
2016-05-20 	 17:30 	 15 	 price-red 	 1 	 Zürich 	 Stuttgart 	 216700 	 14 	 2
2016-05-20 	 17:30 	 25 	 price-red 	 3 	 Zürich 	 Würzburg 	 358738 	 14 	 3
2016-05-20 	 17:30 	 25 	 price-orange 	 2 	 Zürich 	 Frankfurt am Main 	 410140 	 16 	 3
2016-05-20 	 17:30 	 40 	 price-orange 	 3 	 Zürich 	 Dresden 	 715615 	 17 	 6
2016-05-20 	 17:30 	 2 	 price-red 	 1 	 Zürich 	 Bülach 	 21030 	 10 	 0
2016-05-20 	 17:50 	 12 	 price-orange 	 1 	 Zürich 	 Stuttgart 	 216700 	 18 	 2
2016-05-20 	 17:50 	 15 	 price-red 	 3 	 Zürich 	 Stuttgart 	 216700 	 14 	 2
2016-05-20 	 18:00 	 20 	 price-orange 	 3 	 Schlieren 	 Würzburg 	 369617 	 18 	 3
2016-05-20 	 18:00 	 45 	 price-orange 	 3 	 Zürich 	 Cottbus 	 845965 	 18 	 7
2016-05-20 	 18:00 	 48 	 price-green 	 Ausgebucht 	 Zürich 	 Hajdúszoboszló 	 1257073 	 26 	 11
2016-05-20 	 18:10 	 20 	 price-red 	 3 	 Zürich 	 Mailand 	 279929 	 13 	 3
2016-05-20 	 18:10 	 17 	 price-orange 	 2 	 Zürich 	 München 	 303788 	 17 	 3
2016-05-20 	 18:30 	 11 	 price-green 	 Ausgebucht 	 Wallisellen 	 Lausanne 	 231310 	 21 	 2
2016-05-20 	 18:40 	 2 	 price-green 	 3 	 Zürich 	 Basel 	 87139 	 43 	 1
2016-05-20 	 18:40 	 6 	 price-red 	 3 	 Zürich 	 Basel 	 86962 	 14 	 1
2016-05-20 	 18:40 	 19 	 price-red 	 2 	 Zürich 	 Karlsruhe 	 269732 	 14 	 2
2016-05-20 	 18:50 	 25 	 price-green 	 3 	 Schlieren 	 Suhl 	 503817 	 20 	 4
2016-05-20 	 19:00 	 10 	 price-red 	 3 	 Zürich 	 Ravensburg 	 143662 	 14 	 1
2016-05-20 	 19:00 	 12 	 price-orange 	 Ausgebucht 	 Zürich 	 Stuttgart 	 215335 	 17 	 2
2016-05-20 	 19:00 	 12 	 price-orange 	 3 	 Zürich 	 Stuttgart 	 216700 	 18 	 2
2016-05-20 	 19:00 	 19 	 price-orange 	 1 	 Zürich 	 München 	 310475 	 16 	 3
2016-05-20 	 19:00 	 19 	 price-orange 	 2 	 Zürich 	 München 	 307274 	 16 	 3
2016-05-20 	 19:00 	 22 	 price-green 	 3 	 Zürich 	 Bamberg 	 451088 	 20 	 4
2016-05-20 	 19:30 	 5 	 price-green 	 4 	 Zürich 	 Sankt Gallen 	 86215 	 17 	 0
2016-05-20 	 19:30 	 10 	 price-green 	 1 	 Zürich 	 Stuttgart 	 217049 	 21 	 2
2016-05-20 	 19:30 	 25 	 price-orange 	 3 	 Zürich 	 Trier 	 431515 	 17 	 4
2016-05-20 	 19:32 	 19 	 price-red 	 4 	 Zürich 	 Karlsruhe 	 271518 	 14 	 2
2016-05-20 	 20:00 	 20 	 price-green 	 3 	 Zürich 	 Frankfurt am Main 	 408704 	 20 	 4
2016-05-20 	 20:00 	 45 	 price-red 	 3 	 Zürich 	 Dresden 	 720771 	 16 	 6
2016-05-20 	 20:10 	 12 	 price-red 	 4 	 Zürich 	 Tübingen 	 189926 	 15 	 2
2016-05-20 	 20:40 	 2 	 price-red 	 3 	 Zürich 	 Winterthur 	 23833 	 11 	 0
2016-05-20 	 21:50 	 6 	 price-green 	 3 	 Zürich 	 Bern 	 121257 	 20 	 1
2016-05-20 	 23:20 	 2 	 price-green 	 3 	 Zürich 	 Schwyz 	 58656 	 29 	 0
2016-05-20 	 23:40 	 3 	 price-green 	 1 	 Zürich 	 Sankt Gallen 	 86215 	 28 	 0
2016-05-21 	 02:00 	 15 	 price-red 	 3 	 Zürich 	 Väris 	 236845 	 15 	 2
2016-05-21 	 07:00 	 4 	 price-green 	 3 	 Zürich 	 Sankt Gallen 	 86215 	 21 	 0
2016-05-21 	 08:00 	 21 	 price-red 	 1 	 Zürich 	 Innsbruck 	 291852 	 13 	 3
2016-05-21 	 08:00 	 1 	 price-green 	 3 	 Zürich 	 Winterthur 	 23833 	 23 	 0
2016-05-21 	 10:00 	 50 	 price-orange 	 1 	 Zürich 	 Berlin 	 843994 	 16 	 7
2016-05-21 	 10:30 	 9 	 price-red 	 3 	 Zürich 	 Bregenz 	 120928 	 13 	 1
2016-05-21 	 11:00 	 9 	 price-orange 	 3 	 Zürich 	 Freiburg Im Breisgau 	 150881 	 16 	 1
2016-05-21 	 12:20 	 22 	 price-orange 	 4 	 Zürich 	 Lyon 	 424202 	 19 	 4
2016-05-21 	 13:00 	 27 	 price-red 	 3 	 Zürich 	 Frankfurt Am Main 	 395978 	 14 	 3
2016-05-21 	 13:20 	 6 	 price-red 	 3 	 Zürich 	 Basel 	 82354 	 13 	 0
2016-05-21 	 13:40 	 6 	 price-green 	 3 	 Zürich 	 Bern 	 121257 	 20 	 1
2016-05-21 	 13:50 	 9 	 price-red 	 1 	 Zürich 	 Bern 	 121257 	 13 	 1
2016-05-21 	 14:10 	 25 	 price-orange 	 3 	 Zürich 	 Frankfurt am Main 	 397579 	 15 	 3
2016-05-21 	 14:30 	 6 	 price-orange 	 2 	 Zürich 	 Überlingen 	 103071 	 17 	 1
2016-05-21 	 14:50 	 5 	 price-green 	 2 	 Zürich 	 Tuttlingen 	 102521 	 20 	 1
2016-05-21 	 15:40 	 1 	 price-red 	 Ausgebucht 	 Zürich 	 Kloten 	 10136 	 10 	 0
2016-05-21 	 15:40 	 13 	 price-orange 	 2 	 Zürich 	 Stuttgart 	 217885 	 16 	 2
2016-05-21 	 16:30 	 15 	 price-orange 	 3 	 Zürich 	 Augsburg 	 286104 	 19 	 2
2016-05-21 	 17:00 	 6 	 price-green 	 2 	 Zürich 	 Bern 	 121257 	 20 	 1
2016-05-21 	 18:00 	 4 	 price-orange 	 3 	 Zürich 	 Konstanz 	 67892 	 16 	 0
2016-05-21 	 19:00 	 9 	 price-red 	 3 	 Zürich 	 Feldkirch 	 128736 	 14 	 1
2016-05-21 	 19:20 	 1 	 price-green 	 2 	 Zürich 	 Winterthur 	 23833 	 23 	 0
2016-05-21 	 21:20 	 13 	 price-orange 	 Ausgebucht 	 Zürich 	 Stuttgart 	 208809 	 16 	 2
2016-05-22 	 05:00 	 19 	 price-red 	 Ausgebucht 	 Zürich 	 Mailand 	 279929 	 14 	 3
2016-05-22 	 08:00 	 2 	 price-green 	 3 	 Zürich 	 Basel 	 87139 	 43 	 1
2016-05-22 	 08:30 	 19 	 price-red 	 4 	 Zürich 	 Mailand 	 280099 	 14 	 3
2016-05-22 	 09:00 	 10 	 price-orange 	 3 	 Zürich 	 Tübingen 	 189616 	 18 	 2
2016-05-22 	 10:00 	 10 	 price-green 	 2 	 Zürich 	 Stuttgart 	 217468 	 21 	 2
2016-05-22 	 10:00 	 36 	 price-green 	 3 	 Zürich 	 Osnabrück 	 724419 	 20 	 6
2016-05-22 	 10:30 	 5 	 price-green 	 3 	 Zürich 	 Bern 	 121257 	 24 	 1
2016-05-22 	 12:30 	 16 	 price-orange 	 2 	 Zürich 	 München 	 310475 	 19 	 3
2016-05-22 	 13:30 	 17 	 price-orange 	 2 	 Zürich 	 Genève 	 276274 	 16 	 2
2016-05-22 	 15:00 	 10 	 price-orange 	 2 	 Zürich 	 Tübingen 	 189965 	 18 	 2
2016-05-22 	 15:00 	 20 	 price-green 	 1 	 Zürich 	 Nürnberg 	 422170 	 21 	 4
2016-05-22 	 15:00 	 9 	 price-red 	 2 	 Zürich 	 Bern 	 121257 	 13 	 1
